Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MidGamma
1574912,12517632,10289152,16253184,8585216,14155776,8192000,3473438
1574144,10027008,12779520,8323072,6225920,14156032,5767168,12648460
276480,3145728,0,0,0,0,0,0
1575680,11469056,15269888,1114112,14942208,2293760,12517376,14614548
1574400,13500416,7667712,2162688,8781824,7602176,8716288,13762586
1572864,14221312,7864320,6029824,4194304,16449536,9043968,13434907
1573888,852736,3145728,4849664,12845056,720896,4653056,13697041
1573632,1638400,14286848,2490368,15794176,5963776,13041664,16056327
1573632,2425856,9109504,0,10354688,12320768,14286848,4063265
1574400,1245184,655360,12058624,16580608,589824,10747904,13303822
1573888,327680,851968,8126464,8781824,15007744,14352384,131093
1573120,6422528,4390912,13172736,10158080,12845056,7995392,9961482
1575936,4784128,14548992,6225920,524288,10616832,5832704,2949129
1577472,5111808,9633792,8126720,2621440,6750208,5177344,15138856
1575168,12911104,9568256,3080192,14221312,4390912,5439488,12124194
1576192,10092544,4718592,16646144,10682368,196608,12910592,8388636
1574400,13041920,4849920,14548992,393216,1179648,3014656,2949139
1573120,9043968,13828096,3080192,12058624,8192000,10485760,12517380
1573888,4194816,10813440,6684672,7536640,2949120,3276800,3407925
1574144,459008,9830400,3473408,13697024,6094848,12189696,6160400
1576448,9437440,2424832,13434880,15204352,7995392,14811136,4849708
1575680,7536640,1638400,9895936,3407872,11534336,3211264,4325422
1575680,15270144,13041664,11730944,16449536,15859712,15138816,14549047
1575680,7012352,13434880,15073280,12517376,5177344,12451840,14286852
1576448,12189952,15007744,10485760,3014656,4456448,11730944,7340036
1575168,2556672,11665664,13172736,6619136,7471104,13369344,2621468
1574400,8259840,8651008,14483456,7995392,2424832,11010048,11010108
1573376,2555904,5832704,13500416,3145728,7864320,4521984,8716292
1577984,13500416,3735552,12452096,13172736,13565952,1900544,9961512
1576192,9961472,6488064,8781824,12058624,4849664,9043968,12451856
1573632,6750208,2621440,12320768,1966080,2359296,15663104,18
1573120,4391680,14155776,1441792,3932160,12517376,10682368,7274536
1573888,1900800,7077888,13631488,5505024,5636096,8519680,2818066
1573632,2162944,1769472,14090240,3538944,5832960,8978432,13041697
1573120,4718848,3801088,1048576,4784128,14548992,11730944,8978448
1573888,15466752,7274496,7995392,4849664,10747904,15466496,11927579
1575424,7995648,1441792,12845056,2818048,13762560,1245184,3866643
1576704,15925760,14155776,10813440,2555904,3866624,720896,8257576
1573632,10944768,1703936,12320768,10682368,13107200,9699328,13565965
1577984,10748416,6160384,7667712,9109504,3342336,12517376,2097177
1574400,11403264,6684672,4849664,5046272,6094848,14942208,10747911
1573120,13107200,8847360,9109504,4259840,5242880,1900544,720897
1574656,9044736,1572864,7798784,12058624,5111808,3473408,11206691
1575168,12713984,7667712,5832704,5832704,4456448,14745600,16515078
1575680,1507584,9240576,1966080,1835008,9699328,15794176,13631521
1573376,2622208,2752512,15138816,5767168,2424832,1441792,4849692
1573376,5898240,1376256,5177344,0,11337728,11403264,14680111
1575168,8716288,5636096,8060928,5505024,11206656,1638400,4915208
1576192,13370368,14876672,13959168,8126464,8519680,4587520,9437219
1573376,14811136,8192256,11010048,10485760,5112064,11468800,12320782
1572864,11993088,6225920,8847360,9109504,1966080,16056320,15925250
1574656,14549760,15859712,13893888,11337728,8716288,9895936,3866652
1573376,16711936,10223616,11599872,1835008,9043968,9240576,10485773
1573632,1902848,10158336,13828096,4521984,2686976,7471104,1572894
1579776,14680576,6029312,3932160,15532032,14811136,14548992,10027035
1579776,1835520,7995392,14942464,6553600,13303808,9109504,11141152
1573632,3014656,16646144,6881280,14811136,13107200,7995392,458755
1577728,15336192,655360,7929856,1835008,3997696,5046272,6094887
1573376,983552,262144,8192000,10485760,10944512,6946816,11534342
1579008,5701632,10027008,14483456,16646144,4063232,9371648,3997755
1573632,5111808,13303808,7733248,6029312,10944512,10027008,16711693
1575680,14287104,131072,13959168,5701632,2883584,5308416,12058636
1572864,2031616,8585216,5767168,10813440,14352384,524288,14811137
1576448,13565952,4194304,13172736,10747904,5964032,2949120,5177373
1572864,16515072,16252928,11927552,7798784,5505024,12124160,10027010
1574400,10682368,12058624,13303808,13893632,14548992,9895936,4587527
1580800,14090752,3211264,13893632,1114112,14221312,0,12714056
273408,1703936,0,131072,0,32768,35840,0
1575424,3473664,13369344,15663104,589824,2686976,8192000,1441819
1573376,11010048,14483456,2818048,3276800,5308416,9961472,8781827
1577984,1966080,5505024,1507328,11468800,15794176,7012352,14549103
1581568,7406080,4653312,2359296,4194304,12189696,9895936,16384024
1583616,14680320,6553600,786432,589824,15400960,12910592,12124201
1573888,10289152,786432,3145728,8454144,4194304,9306112,10747908
1573632,10747904,6881280,458752,851968,13500416,15859712,2818054
1579776,9241856,4063488,4194304,196608,10616832,8716288,14286882
1573376,7078144,4849664,15663104,5439488,3342336,2883584,2752527
1574400,10092800,10354688,4456448,11206656,3014656,5570560,10223699
1574144,9830400,11075584,8192000,6881280,8716288,13107200,16449542
1574656,1245184,6422528,589824,13369344,262144,3473408,2752521
1576192,1638656,4521984,4325376,6750208,10485760,14811136,2359333
1579520,4915456,5505024,2949120,11010048,6225920,14155776,14876715
1580800,11731456,9306112,11730944,14614528,13107200,4325376,11927579
1573632,9371904,8978432,4390912,11796480,6422528,16121856,6422546
1576960,6555136,16449536,4456448,6160384,196608,10944512,7143436
1575936,5505536,13303808,1441792,12976128,10223616,10944512,2424872
1574912,131072,458752,15597568,14811136,1769472,6160384,10944517
1572864,1376256,7405568,11599872,13107200,5177344,5505024,13762563
1579520,6619904,10158336,1638400,11141120,7536640,3801088,10747935
1573888,11141120,9830400,12255232,9633792,8650752,6881280,3407877
1576704,3145728,6750208,3538944,7471104,12648448,4456448,2555916
1573888,1769472,1638400,11468800,8519680,6684672,16449536,11141138
1575168,10682624,590080,12320768,7667712,8257536,6619136,9633827
1579264,462336,10158592,10420480,13828352,12321024,5964032,12189846
1575936,3866880,8585216,7340032,1703936,7077888,13631488,15138828
1575680,13565952,3211264,11993088,589824,3538944,13107200,13172750
1573888,5964032,11665664,8454144,15663360,3408128,8781824,8323115
1578240,5701632,6488064,7405568,9961472,8192000,327680,15728656
